en
fr
mg
zh
el
ru
de
ku
th
sv
nl
es
sh
pl
lt
ca
fi
it
hu
pt
ja
ta
tr
io
hy
ko
vi
kn
sr
hi
id
ro
et
no
cs
skr
ml
my
li
uz
eo
or
fa
te
bn
sg
is
gl
oc
ar
ast
jv
mnw
ms
uk
az
eu
br
simple
da
shn
sk
la
kbd
lmo
wa
ky
hr
fj
bg
lo
cy
ur
tg
ps
he
vo
af
om
sl
zh-min-nan
ka
scn
tl
sw
fy
kk
min
nn
lv
gor
bs
lb
sq
nds
mn
co
pnb
diq
ckb
zh-yue
nah
km
mad
sa
nia
si
be
mk
vec
tk
bjn
sm
bcl
hsb
kaa
btm
ha
ks
shy
so
pa
ga
su
gd
an
gom
mr
blk
wo
mni
ia
mt
sd
tt
fo
ang
gn
mi
ie
csb
ug
guw
jbo
st
kcg
hif
roa-rup
kl
zu
tcy
ln
am
yi
sat
gu
na
gv
tpi
kw
ay
ne
rw
ts
qu
ig
iu
ss
chr
dv
ti
tn
